admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,doc_id,word,country_predicted,country_conf,continent,lcount
Kyoto,35.02107,135.75385,JPN,1857910,Kyoto,P,PPLA,27997,Kyoto,JPN,1.0,AS,5
Berlin,52.5233,13.41377,DEU,6547539,Berlin,A,ADM4,27997,Berlin,DEU,0.999993085861206,EU,6
Bamyan,34.64423,66.77085,AFG,1457806,Nāw-e Sarmā Qōl,T,MT,28351,SRMA,AFG,0.9375070929527284,AS,4
Dhaka,23.83333,90.25,BGD,1337179,Dhaka Division,A,ADM1,28382,Dhaka,BGD,0.9881994724273682,AS,5
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,28641,China,CHN,1.0,AS,5
Missouri,38.63162,-90.24925,USA,6955119,St. Louis,L,RGNE,29139,St. Louis,USA,0.9991698265075684,NA,7
California,39.76,-98.5,USA,6252001,United States,A,PCLI,29139,USA,USA,0.99993097782135,NA,3
Queensland,-27.44573,153.02993999999995,AUS,7839562,Brisbane,A,ADM2,29665,Brisbane,AUS,0.9971505999565125,OC,8
,-25.0,135.0,AUS,2077456,Commonwealth of Australia,A,PCLI,29665,Australia,AUS,0.999810516834259,OC,9
Antioquia,7.0,-75.5,COL,3689815,Departamento de Antioquia,A,ADM1,29736,Antioquia,COL,0.999981164932251,SA,9
Atlántico,4.0,-73.25,COL,3686110,Colombia,A,PCLI,29736,Colombia,COL,0.9999812841415404,SA,8
Antioquia,6.33732,-75.55795,COL,3688928,Bello,P,PPLA3,29736,Bello,COL,0.9998457431793212,SA,5
Michoacán,19.78639,-101.13778,MEX,8858760,San Pedro de los Sauces,P,PPL,29736,San Pedro de los,MEX,0.9967010617256165,NA,13
Antioquia,6.78234,-75.56191,COL,3689753,Aragón,P,PPL,29736,Tierradentro,COL,0.9998397827148438,SA,12
Île-de-France,48.85339000000001,2.34864,FRA,2988506,Paris,A,ADM3,29736,Paris,FRA,0.9967010617256165,EU,5
Uttar Pradesh,27.08333,77.96667,IND,1279262,Āgra,A,ADM2,31104,Agra,IND,0.9647448658943176,AS,4
Victoria,-37.814,144.96331999999995,AUS,2158177,Melbourne,P,PPLA,31392,Melbourne,AUS,0.9992645382881165,OC,9
,-25.0,135.0,AUS,2077456,Commonwealth of Australia,A,PCLI,31392,Australia,AUS,0.9999674558639526,OC,9
,24.0,90.0,BGD,1210997,Bangladesh,A,PCLI,31659,Bangladesh,BGD,0.999810516834259,AS,10
Chittagong,21.84103,91.86563,BGD,1196458,Kutubdia Island,T,ISL,31659,Kutubdia Island,BGD,0.99310302734375,AS,14
,28.0,84.0,NPL,1282988,Federal Democratic Republic of Nepal,A,PCLI,31832,Nepal,NPL,0.9999998807907104,AS,5
Central Region,27.70169000000001,85.3206,NPL,1283240,Kathmandu,P,PPLC,31832,Kathmandu,NPL,0.9999998807907104,AS,9
Santiago de Cuba,20.02083,-75.82667,CUB,3536729,Santiago de Cuba,P,PPLA,32068,Cuba,CUB,0.9999674558639526,NA,4
,17.25,-88.75,BLZ,3582678,Belize,A,PCLI,32068,Belize,BLZ,0.9986525177955629,NA,6
,5.0,-59.0,GUY,3378535,Co-operative Republic of Guyana,A,PCLI,32068,Guyana,GUY,0.9886788725852966,SA,6
,10.0,-84.0,CRI,3624060,Republic of Costa Rica,A,PCLI,32068,Costa Rica,CRI,0.9886788725852966,NA,9
,23.0,-102.0,MEX,3996063,Mexico,A,PCLI,32068,Mexico,MEX,0.9886788725852966,NA,6
Attica,37.97945,23.71622,GRC,264371,Athens,P,PPLC,33571,Athens,GRC,0.9971505999565125,EU,6
,39.0,22.0,GRC,390903,Hellenic Republic,A,PCLI,33571,Greece,GRC,0.999810516834259,EU,6
,9.0,39.5,ETH,337996,Federal Democratic Republic of Ethiopia,A,PCLI,33657,Ethiopia,ETH,0.999996781349182,AF,8
,0.0,102.0,IDN,1626198,Sumatra,T,ISL,33991,Sumatra,IDN,0.9999852180480956,AS,7
West Kalimantan,0.0,110.5,IDN,1641900,Provinsi Kalimantan Barat,A,ADM1,33991,Kalimantan,IDN,0.9999852180480956,AS,10
West Kalimantan,0.0,110.5,IDN,1641900,Provinsi Kalimantan Barat,A,ADM1,33991,Borneo,IDN,0.993368685245514,AS,6
Abu Dhabi,23.10262,53.71159,ARE,290517,Wafd,P,PPL,33991,Wefind,ARE,0.9373003244400024,AS,6
,1.36667,103.8,SGP,1880251,Republic of Singapore,A,PCLI,33991,Singapore,SGP,0.99957937002182,AS,9
South Sumatra,-3.0,104.71667,IDN,1633069,Kota Palembang,A,ADM2,33991,Palembang,IDN,0.9995222091674804,AS,9
,60.10867,-113.64258,CAN,6251999,Canada,A,PCLI,35350,Canada,CAN,0.999810516834259,NA,6
,22.0,79.0,IND,1269750,Republic of India,A,PCLI,35676,India,IND,0.9997636675834656,AS,5
Languedoc-Roussillon-Midi-Pyrénées,43.6113,3.8771,FRA,6454034,Montpellier,A,ADM4,35987,Montpellier,FRA,0.99310302734375,EU,11
Île-de-France,46.0,2.0,FRA,3017382,Republic of France,A,PCLI,35987,France,FRA,0.999810516834259,EU,6
Languedoc-Roussillon-Midi-Pyrénées,43.71553,1.604,FRA,2993966,Midi,L,RGN,35987,Southern France,FRA,0.999810516834259,EU,14
,35.68536,139.75309,JPN,1861060,Japan,A,PCLI,36111,Japan,JPN,0.99993097782135,AS,5
,16.16667,107.83333,VNM,1562822,Socialist Republic of Vietnam,A,PCLI,36290,Vietnam,VNM,0.999810516834259,AS,7
Baja California,30.0,-115.0,MEX,4017700,Estado de Baja California,A,ADM1,36322,Baja,MEX,0.9377948641777042,NA,4
Baja California Sur,25.83333,-111.83333,MEX,4017698,Estado de Baja California Sur,A,ADM1,36322,California Sur,MEX,0.927898406982422,NA,13
,23.0,-102.0,MEX,3996063,Mexico,A,PCLI,36322,Mexico,MEX,0.9986525177955629,NA,6
,15.5,101.0,THA,1605651,Kingdom of Thailand,A,PCLI,38609,Thailand,THA,0.9999812841415404,AS,8
Liaoning,41.79222,123.43278,CHN,2034937,Shenyang,P,PPLA,38722,Shenyang,CHN,0.9881994724273682,AS,8
Bremen,53.11528000000001,8.7975,DEU,3220905,Kreisfreie Stadt Bremen,A,ADM3,38887,Bremen,DEU,0.999810516834259,EU,6
Lower Saxony,53.14068,8.21706,DEU,6552850,Oldenburg (Oldenburg),A,ADM4,38887,Oldenburg,DEU,0.99310302734375,EU,9
,51.5,10.5,DEU,2921044,Federal Republic of Germany,A,PCLI,38887,Germany,DEU,0.999810516834259,EU,7
New York,40.71427,-74.00596999999998,USA,5128581,New York City,P,PPL,39067,New York City,USA,0.9647448658943176,NA,11
New York,40.71427,-74.00597,USA,5128581,New York City,P,PPL,39067,NYC,USA,0.9881994724273682,NA,3
