index,doc_id,High,Low,Lower-middle,Upper-middle,Health system demand,All-cause mortality,Respiratory,Chronic,Infectious disease,WASH,Food & nutrition,Maternal & child health,Mental health,Occupational health & injury
7336,3363744,1,0,0,0,0.011392797960221851,0.0,0.0,0.004392166746385079,0.0,0.0,0.0,0.0,0.027232980001305574,0.0
7337,3363799,0,0,1,0,0.0,0.0035301093458940227,0.0,0.0,0.0,0.0,0.0,0.03476455825221835,0.259910476398128,0.0
7338,3363879,1,0,0,0,0.012249545728928144,0.0,0.0,0.01150048434976112,0.0,0.0,0.0,0.011313674768758464,0.10157949940915606,0.0
7339,3363941,0,0,0,1,0.10596405955612183,0.000320371009774529,0.15846746988185856,0.0,0.017006167794369597,0.0,0.0016388885849448166,0.0,0.00039259690542008894,0.0
7340,3363945,1,0,0,1,0.10674687392409386,0.005856050811863706,0.1265988733157856,0.0,0.030104824752614622,0.0,0.0,0.03571531382204908,0.0,0.0
7341,3363991,0,0,1,0,0.006920445891018687,0.03388105373428796,0.0,9.231333114625063e-05,0.0026333383198334087,0.0,0.0028581774055145746,0.016534535304678067,0.009566304326380625,0.0
7342,3364085,0,0,0,1,0.0015585410216019638,0.0,0.01970481102437755,0.0,0.14287222233673566,0.0,0.0,0.0,0.0,0.0
7343,3364093,0,0,1,0,0.15725903846400788,0.0,0.014026633935203724,0.0,0.0022215621047540655,0.0,0.0,0.07636349927138625,0.003487835598586291,0.0
7344,3364142,0,0,0,1,0.0007891991075243627,0.0,0.0054382430866662165,0.0,0.0686152462859589,0.0,0.0,0.0,0.00030196971505182815,0.001073947499893997
7345,3364160,1,0,0,0,0.0,0.0,0.015405632466130423,0.0,0.0,0.0,0.0,0.0,0.0,0.0036084421915808765
7346,3364171,1,0,0,1,0.006746055507098082,0.003728485174365783,0.0068431235302955475,0.0,0.1788127357836463,0.0,0.0,7.10415049529696e-05,0.0,0.0005946662212937907
7347,3364175,1,0,0,0,0.08296259118721157,0.0,0.0027509213065239737,0.0019121516569581265,0.005849798803328005,0.0,0.0,0.003042584933928643,0.0,0.0
7348,3364286,0,1,0,0,0.0,0.014814743985948385,0.014426237928400669,0.00033307848357463574,0.0012938658784011285,0.0,0.0,0.001369532272676096,0.0,0.0
7349,3364294,0,0,0,1,0.006743161318571431,0.0008407903531764634,0.019394865548429542,0.0016245373197025649,0.05285185749042177,0.03914243158154963,0.017878092653191263,0.005568860358493459,0.0,0.0
7350,3364305,0,0,0,1,0.0,0.0,0.016085644939565373,0.0,0.27000343549724637,0.0,0.0,0.0,0.0,0.0
7351,3364310,0,0,0,1,0.02100222101455476,0.0058737829229210305,0.008399277317530714,0.04376481305911062,0.026840800446563475,0.0,0.0,0.0,0.002422387077640082,0.0
7352,3364311,0,0,0,1,0.027405951508588086,0.0,0.17875612974615507,0.0,8.785140009133224e-05,0.0,0.0,0.06772071720627039,0.0,0.0
7353,3364312,1,0,0,0,0.00528515027969313,0.0,0.05767012353498045,0.0,0.0,0.023365084384020133,0.0,0.0,0.0,0.002019784148001413
7354,3364364,0,0,1,0,0.1313379613309092,0.016511299844430425,0.0,0.007992462478787194,0.02974347779850411,0.00527172526084669,0.0062734699111137455,0.0,0.0006186909592856591,0.0
7355,3364458,1,0,0,0,0.015659489765410095,0.0,0.0,0.0,0.08067752757786056,0.0,0.009752997775570017,0.0,0.0,0.008225036105507946
7356,3364527,0,0,1,0,0.0011095421507675556,0.03794247178171496,0.0,0.003151206208212733,0.0033383099563340565,0.0,0.0,0.02249778340001729,0.00038973701738173795,0.005550367467387957
7357,3364627,0,0,0,1,0.00824086364520978,0.0,0.0002673016427640079,0.0,0.08470256700912507,0.002536930338340451,0.0,0.00410709847064732,0.0,0.0009799147738023533
7358,3364659,1,0,0,0,0.02641088897418536,0.005450663442348549,0.032480205852632914,0.0,0.1644380466087917,0.0,0.0,0.0,0.0,0.0
7359,3364683,0,1,0,0,0.0036966394185014035,0.0,0.0,0.1079818704594333,0.0017946100728232837,0.015746116285666696,0.0,0.0,0.0,0.07667196861028794
7360,3364713,0,0,1,0,0.0280281088015916,0.0,0.0,0.0,0.018878932961185365,0.02296058301446514,0.001722533479015266,0.0,0.0,0.0
7361,3364831,1,0,0,0,0.004578907924581951,0.06923980479424852,0.0,0.05458390185191748,0.004852839716793889,0.0,0.0,0.0,0.0017366750047452279,0.0
7362,3364840,1,0,0,0,0.00531840976093298,0.041843358146386095,0.0,0.0029362223925609543,0.03134159141612754,0.0,0.0,0.0,0.001838500390026398,0.0046620745770376126
7363,3364980,0,1,0,0,0.01599358001287596,0.0,0.0,0.0,0.00035369650006866115,0.0,0.0,0.05915982588239433,0.043789801129341055,0.006041266781696128
7364,3365237,0,0,0,1,0.015701372786723636,0.007855413247354988,0.0,0.0002654842691659834,0.018813788893356585,0.0,0.0,0.00012439866217609083,0.0010571574727061537,0.0
7365,3365258,1,0,0,0,0.007386003438821211,0.004629647788590829,0.0,0.0038752811090580854,0.002413385921598934,0.0,0.0,0.006472562520759474,0.0,0.001518461243556482
7366,3365268,1,0,0,0,0.0039440728717963745,0.0,0.0,0.005281673541091742,0.0,0.001214988750505495,0.002181715291611732,0.0055562351052220035,0.015714445550881462,0.0
7367,3365315,1,0,0,0,0.1767898949264133,0.0019798383228991625,0.08006700996492376,0.0,0.039087249709740424,0.0,0.0,0.0,0.0,0.0
7368,3365441,0,0,1,0,0.036427674602770785,0.032837266976360545,0.03007644344512364,0.00035071732275070573,0.10998668941138043,0.0008162884869362102,0.0,0.0,0.0,0.0
7369,3365446,1,0,0,0,0.0,0.0,0.0,0.019046066112004115,0.0,0.0,0.005692295455990918,0.0,0.04178027635069595,0.0
7370,3365520,0,0,0,1,0.0,0.0020155482668105735,0.08785917565638876,0.006354000025679349,0.08032865739443468,0.00010862022956690636,0.011003780834436526,0.0,0.0,0.0018476352606809803
7371,3365539,0,0,1,0,0.0,0.04639580667490833,0.0,0.05561051536289927,0.0028911515541704446,0.0,0.0014222471500093942,0.0,0.0011570550701622195,0.0
7372,3365585,1,0,0,0,0.056872478843165916,0.0,0.0019250944105722156,0.0016413773133068556,0.028553930853062154,0.0,0.0,0.0,0.002301882689455612,0.0
7373,3365614,1,0,0,0,0.12771283793139412,0.0019749625210730127,0.0,0.0,0.0053139360681463636,0.0,0.00016286282656602756,0.0,0.04955074994741913,0.0
7374,3365707,0,0,0,1,0.001322235058624804,0.0,0.00424401967100394,0.0,0.0,0.0,0.0,0.0009565422171421109,0.0,0.0
7375,3365726,0,0,0,1,0.04380928958538014,0.010597140397267387,0.1459099578555851,0.0,0.01778156934361864,0.0,0.0,0.11285940171635438,0.0,0.0
